time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-06-15T02:18:33.050Z,35.9876667,-117.4081667,0.72,3.24,ml,41,38,0.1399,0.17,ci,ci40040359,2022-06-15T19:00:33.232Z,"24km N of Searles Valley, CA",earthquake,0.16,0.36,0.125,91,reviewed,ci,ci
2022-06-15T02:16:40.640Z,18.2071666666667,-66.7611666666667,97.61,2.71,md,4,225,,0.23,pr,pr71354183,2022-06-15T02:27:03.880Z,"6 km NW of Adjuntas, Puerto Rico",earthquake,16.78,1.77,0.161468760754339,3,reviewed,pr,pr
2022-06-15T02:08:01.958Z,-20.4174,-69.0345,105.86,4.2,mb,,61,0.296,0.69,us,us7000hhgk,2022-06-15T02:20:42.040Z,"118 km E of Iquique, Chile",earthquake,3.7,6,0.167,10,reviewed,us,us
2022-06-15T00:47:38.490Z,19.1921666666667,-155.410833333333,33.4,2.54,ml,40,163,,0.12,hv,hv73044122,2022-06-15T02:20:11.570Z,"7 km E of P?hala, Hawaii",earthquake,0.5,0.59,0.200114530747502,15,reviewed,hv,hv
2022-06-14T23:33:41.700Z,17.9198333333333,-66.7771666666667,6.97,3.2,md,26,185,,0.16,pr,pr71354133,2022-06-15T00:27:17.040Z,"9 km SSE of Indios, Puerto Rico",earthquake,0.42,0.27,0.0691178410395166,16,reviewed,pr,pr
2022-06-14T23:03:58.790Z,19.0106,-68.8336,10,4.11,md,32,153,0.4513,0.77,pr,pr2022165001,2022-06-15T00:06:15.137Z,"22 km E of Miches, Dominican Republic",earthquake,1.24,31.61,0.23,29,reviewed,pr,pr
2022-06-14T22:52:46.653Z,-22.1358,-67.3112,193.86,4.7,mb,,91,1.141,0.89,us,us7000hhfw,2022-06-14T23:09:17.040Z,"125 km NE of San Pedro de Atacama, Chile",earthquake,8.2,6,0.159,12,reviewed,us,us
2022-06-14T22:17:39.670Z,-17.8132,-174.4389,83.39,4.6,mb,,94,4.648,0.51,us,us7000hhfs,2022-06-14T22:38:28.040Z,"104 km NNW of Neiafu, Tonga",earthquake,14.4,8.9,0.103,28,reviewed,us,us
2022-06-14T17:54:08.780Z,18.9057,-155.2738,10,2.5,ml,,255,0.376,0.6,us,us7000hhec,2022-06-14T18:59:46.040Z,"36 km ESE of Naalehu, Hawaii",earthquake,2.5,2,0.052,49,reviewed,us,us
2022-06-14T16:58:21.632Z,51.6232,-172.668,15.75,2.7,ml,,219,1.099,0.19,us,us7000hhe2,2022-06-14T17:22:32.040Z,"123 km ESE of Atka, Alaska",earthquake,8.3,9.5,0.137,8,reviewed,us,us
2022-06-14T16:33:46.827Z,38.5481,142.0033,58.24,4.4,mb,,150,2.352,0.54,us,us7000hhdw,2022-06-15T07:00:22.826Z,"63 km ENE of Ishinomaki, Japan",earthquake,9.2,8.6,0.063,72,reviewed,us,us
2022-06-14T16:26:44.052Z,58.9969,-150.6292,34.2,2.6,ml,,,,0.7,ak,ak0227l5cuyq,2022-06-14T17:09:24.040Z,"74 km SSE of Halibut Cove, Alaska",earthquake,,2.3,,,automatic,ak,ak
2022-06-14T15:43:02.702Z,63.1541,-149.6822,85.1,3.8,ml,,,,0.97,ak,ak0227l4uzkp,2022-06-15T02:47:18.516Z,"45 km SW of Cantwell, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2022-06-14T15:30:20.639Z,36.706,49.8017,10,4.6,mb,,92,3.665,0.48,us,us7000hhd7,2022-06-15T07:38:59.646Z,"34 km E of P?deg?n-e Manj?l, Iran",earthquake,8.9,1.9,0.063,78,reviewed,us,us
2022-06-14T15:17:55.850Z,-17.9565,-178.2193,592.19,4.5,mb,,115,3.556,0.57,us,us7000hhd5,2022-06-14T15:43:52.040Z,"261 km E of Levuka, Fiji",earthquake,10.6,9.4,0.096,33,reviewed,us,us
2022-06-14T14:58:53.300Z,33.7376667,-119.1521667,1.04,2.75,ml,52,142,0.3615,0.25,ci,ci40039967,2022-06-14T16:22:44.044Z,"31km NNW of Santa Barbara Is., CA",earthquake,0.32,0.97,0.17,15,reviewed,ci,ci
2022-06-14T14:48:27.496Z,36.5886,71.0146,219.07,4,mb,,180,0.641,0.52,us,us7000hhbn,2022-06-14T15:24:23.040Z,"34 km SSE of Jurm, Afghanistan",earthquake,9.9,4.2,0.133,15,reviewed,us,us
2022-06-14T14:37:41.163Z,10.9542,-86.8449,10,4.5,mb,,178,1.323,0.39,us,us7000hhbg,2022-06-14T15:16:05.040Z,"98 km SSW of Masachapa, Nicaragua",earthquake,7.1,2,0.074,56,reviewed,us,us
2022-06-14T14:13:42.555Z,61.4001,-150.609,39.8,2.8,ml,,,,0.15,ak,ak0227l437jj,2022-06-14T14:46:48.040Z,"16 km SSW of Susitna, Alaska",earthquake,,2.2,,,automatic,ak,ak
2022-06-14T14:09:43.154Z,26.5404,54.1791,10,4.7,mb,,78,2.42,0.79,us,us7000hhbb,2022-06-15T06:22:24.851Z,"16 km E of K?sh, Iran",earthquake,6.7,1.9,0.07,64,reviewed,us,us
2022-06-14T14:05:06.778Z,53.31,-163.8744,37.5,3.7,ml,,,,0.59,ak,ak0227l41qd2,2022-06-14T14:23:32.395Z,"155 km SE of Akutan, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2022-06-14T14:05:05.268Z,53.329,-163.8738,13.36,4,mb,,99,1.22,0.34,us,us7000hhb8,2022-06-14T14:39:30.040Z,"154 km SE of Akutan, Alaska",earthquake,5.4,5.5,0.138,15,reviewed,us,us
2022-06-14T12:50:25.555Z,-19.6277,-69.0086,123.26,4.3,mb,,52,0.179,0.3,us,us7000hhb3,2022-06-14T13:26:54.040Z,"135 km ENE of Iquique, Chile",earthquake,5.7,4.5,0.133,18,reviewed,us,us
2022-06-14T12:21:02.310Z,18.0278333333333,-66.7828333333333,15.98,2.54,md,24,108,,0.24,pr,pr71354033,2022-06-14T14:10:06.040Z,"1 km NE of Guayanilla, Puerto Rico",earthquake,0.39,0.84,0.25307294431557,13,reviewed,pr,pr
2022-06-14T10:36:45.432Z,58.6388,-154.1606,91.9,2.5,ml,,,,0.27,ak,ak0227l1uetb,2022-06-14T11:11:20.040Z,"95 km SSE of Kokhanok, Alaska",earthquake,,1,,,automatic,ak,ak
2022-06-14T10:26:07.744Z,-5.7122,146.7277,92.51,4.5,mb,,51,5.622,0.6,us,us7000hh9z,2022-06-14T10:53:03.040Z,"114 km NE of Kainantu, Papua New Guinea",earthquake,9.3,7.4,0.097,33,reviewed,us,us
2022-06-14T10:11:11.925Z,32.4798,101.7276,10,4.6,mb,,55,11.278,0.47,us,us7000hh9y,2022-06-14T10:41:12.040Z,"267 km NW of Tianpeng, China",earthquake,6.2,1.9,0.069,63,reviewed,us,us
