time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-31T10:16:21.967Z,-22.6538,170.7397,10,5.1,mb,,101,3.042,1.08,us,us7000gyp3,2022-06-04T20:42:29.040Z,"southeast of the Loyalty Islands",earthquake,4,1.8,0.096,35,reviewed,us,us
2022-03-31T09:54:03.576Z,55.5073,-155.6251,6.9,3.4,ml,,,,0.52,ak,ak0224501qkv,2022-06-04T20:42:29.040Z,"183 km SSW of Akhiok, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2022-03-31T09:49:09.562Z,61.3627,-146.6395,3.8,2.5,ml,,,,0.63,ak,ak0224500n7x,2022-06-04T20:42:29.040Z,"30 km NNW of Valdez, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2022-03-31T09:41:15.000Z,18.115,-66.2626666666667,13.89,2.77,md,36,90,,0.32,pr,pr71342828,2022-03-31T11:17:31.439Z,"0 km SW of Pastos, Puerto Rico",earthquake,0.4,0.99,0.309238267147211,18,reviewed,pr,pr
2022-03-31T09:38:05.043Z,-22.4878,170.7358,10,4.4,mb,,120,3.043,1.07,us,us7000gzvn,2022-06-04T20:42:29.040Z,"southeast of the Loyalty Islands",earthquake,10.3,1.9,0.203,7,reviewed,us,us
2022-03-31T09:32:26.736Z,51.8188,178.3958,129.48,2.9,ml,,258,0.148,0.42,us,us6000hkyr,2022-06-04T20:42:29.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,9.4,3,0.115,10,reviewed,us,us
2022-03-31T09:09:25.786Z,-22.3038,170.3081,10,4.4,mb,,187,2.664,0.77,us,us7000gzvk,2022-06-04T20:42:29.040Z,"264 km ESE of Tadine, New Caledonia",earthquake,9.6,1.9,0.169,11,reviewed,us,us
2022-03-31T09:07:04.870Z,-22.4846,170.131,10,4.3,mb,,163,2.485,0.64,us,us7000gzvi,2022-06-04T20:42:29.040Z,"254 km ESE of Tadine, New Caledonia",earthquake,9.9,1.9,0.201,9,reviewed,us,us
2022-03-31T08:53:32.992Z,-22.8507,170.4337,10,4.2,mb,,111,2.768,0.35,us,us7000gzvm,2022-06-04T20:42:29.040Z,"southeast of the Loyalty Islands",earthquake,8.9,1.9,0.167,14,reviewed,us,us
2022-03-31T08:21:51.767Z,32.688,48.3012,10,4.2,mb,,82,3.236,0.53,us,us7000gzvg,2022-06-04T20:42:29.040Z,"40 km NNW of Shahrak-e K?l?r?, Iran",earthquake,8.8,1.9,0.112,26,reviewed,us,us
